scenario,variant,corridor,method,distance_nm,speed_kn,hours,days,fuel_me_t,fuel_aux_t,fuel_t,co2_t,tag
SUEZ_VAR1_SEA,SUEZ_VAR1,SUEZ,SEA,10587.160759671377,14.5,730.1490179083708,30.422875746182115,1369.0294085781952,152.11437873091057,1521.1437873091058,4736.8417536805555,DEST_SHANGHAI
SUEZ_VAR2_GC,SUEZ_VAR2,SUEZ,GC,8230.39569548064,14.5,567.6134962400441,23.65056234333517,1064.2753054500827,118.25281171667585,1182.5281171667584,3682.3925568572854,DEST_SHANGHAI
SUEZ_VAR2_SEA,SUEZ_VAR2,SUEZ,SEA,10587.160759671378,14.5,730.149017908371,30.422875746182125,1369.0294085781957,152.11437873091063,1521.1437873091063,4736.841753680556,DEST_SHANGHAI
SUEZ_VAR3_GC,SUEZ_VAR3,SUEZ,GC,9504.48648128472,14.5,655.481826295498,27.311742762312416,1229.0284243040587,136.5587138115621,1365.5871381156207,4252.438348092043,DEST_SHANGHAI
SUEZ_VAR3_SEA,SUEZ_VAR3,SUEZ,SEA,10635.27520439715,14.5,733.4672554756655,30.561135644819398,1375.251104016873,152.805678224097,1528.0567822409698,4758.36881989838,DEST_SHANGHAI
CAPE_VAR1_GC,CAPE_VAR1,CAPE,GC,13170.988342509034,14.0,940.7848816077882,39.19937006699117,1803.1710230815938,195.99685033495587,1999.1678734165498,6225.408757819136,DEST_SHANGHAI
CAPE_VAR1_SEA,CAPE_VAR1,CAPE,SEA,14825.731246100995,14.0,1058.9808032929282,44.12420013720534,2029.7132063114457,220.62100068602672,2250.3342069974724,7007.540720590128,DEST_SHANGHAI
CAPE_VAR2_GC,CAPE_VAR2,CAPE,GC,13357.571598813727,14.0,954.1122570581234,39.75467737742181,1828.715159361403,198.77338688710904,2027.4885462485122,6313.599333017867,DEST_SHANGHAI
CAPE_VAR2_SEA,CAPE_VAR2,CAPE,SEA,14342.590900644049,14.0,1024.470778617432,42.686282442393,1963.5689923500781,213.431412211965,2177.000404562043,6779.179259806202,DEST_SHANGHAI
CAPE_VAR3_GC,CAPE_VAR3,CAPE,GC,13651.5875234264,14.0,975.1133945304572,40.629724772102385,1868.9673395167097,203.14862386051192,2072.1159633772218,6452.569109956668,DEST_SHANGHAI
CAPE_VAR3_SEA,CAPE_VAR3,CAPE,SEA,14395.625936028606,14.0,1028.2589954306147,42.84412480960895,1970.8297412420118,214.22062404804475,2185.0503652900566,6804.246837513236,DEST_SHANGHAI
NSR_VAR1_GC,NSR_VAR1,NSR,GC,7830.800611207271,12.5,626.4640488965816,26.102668704024236,861.3880672327998,130.51334352012117,991.901410752921,3088.780993084596,DEST_SHANGHAI
NSR_VAR1_SEA,NSR_VAR1,NSR,SEA,9245.317077987636,12.5,739.6253662390109,30.81772359329212,1016.98487857864,154.0886179664606,1171.0734965451006,3646.7228682414434,DEST_SHANGHAI
NSR_VAR2_GC,NSR_VAR2,NSR,GC,7840.127980067346,12.5,627.2102384053876,26.133759933557815,862.4140778074079,130.66879966778907,993.0828774751969,3092.460080457763,DEST_SHANGHAI
NSR_VAR2_SEA,NSR_VAR2,NSR,SEA,11320.154303438963,12.5,905.612344275117,37.73384767812988,1245.216973378286,188.66923839064938,1433.8862117689353,4465.1216634484645,DEST_SHANGHAI
NSR_VAR3_GC,NSR_VAR3,NSR,GC,7752.743797911712,12.5,620.219503832937,25.842479326372374,852.8018177702884,129.21239663186188,982.0142144021503,3057.992263648296,DEST_SHANGHAI
NSR_VAR3_SEA,NSR_VAR3,NSR,SEA,10836.835895456488,12.5,866.9468716365191,36.1227863181883,1192.0519485002137,180.6139315909415,1372.6658800911553,4274.481550603858,DEST_SHANGHAI
